,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
83,99,CC(C)COP(=O)(OCC(C)C)OCC(C)C,126-71-6,Triisobutyl phosphate,0.000769,0.000258,0.00146,0,0.54059947
84,100,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,84-69-5,Diisobutyl phthalate,0.789,0.265,1.5,0,0.8341214
85,101,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,36734-19-7,Iprodione,0.00097,0.000325,0.00184,0,0.84105146
86,102,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,1571-75-1,Bisphenol AP,5.85e-06,1.96e-06,1.11e-05,0,0.9490779
87,103,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,13674-84-5,Tris(1-chloro-2-propyl) phosphate ,0.0727,0.0244,0.138,0,0.46660194
88,104,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,52918-63-5,Deltamethrin,0.000204,6.85e-05,0.000388,0,0.9313598
89,105,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,54774-45-7,Cis-permethrin,0.0315,0.0106,0.0598,0,0.9290723
90,106,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,52645-53-1,Permethrin,0.00335,0.00112,0.00636,0,0.9290723
91,107,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,61949-77-7,Trans-permethrin,0.0327,0.011,0.062,0,0.9290723
92,108,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,52315-07-8,Cypermethrin,0.0554,0.0186,0.105,0,0.76900357
93,109,C=C1C2CCC3C2C(C)(C)CCCC13C,475-20-7,Longifolene,0.00015,5.05e-05,0.000286,0,0.9240645
94,110,CC1(OC(=O)c2ccccc2C(=O)OC2(C)CCCCC2)CCCCC1,27987-25-3,Bis(methylcyclohexyl) phthalate,0.00886,0.00297,0.0168,0,0.9108705
95,111,Cc1c(Br)c(Br)c(Br)c(Br)c1Br,87-83-2,Pentabromotoluene,7.23e-06,2.42e-06,1.37e-05,0,0.7660256
96,112,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],81-15-2,Musk xylene,0.00074,0.000248,0.0014,0,0.95602024
