canonical_smiles,label_ACE2,DataType
CC(C)NC(=O)N1C(C(=O)NC2CCC2)[C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4F)c3=O)[C@H]21,1.0,L1000
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1CC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)O)NC(=O)c1ccc2ccccc2n1,1.0,L1000
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1CC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)O)NC(=O)c1ccc2ccccc2n1,1.0,L1000
O=C1CCCN1CC#CCN1CCCC1,1.0,L1000
CN(C)C(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)c4ccc(F)cc4)cc3C(=O)N2C)O1,1.0,L1000
CO[C@H]1CC[C@@H]2CCOc3c(C#N)cccc3C(=O)N(C)CCCC(=O)N(C)C[C@H]1O2,1.0,L1000
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.0,L1000
CN1c2ccc(C#Cc3cccnc3)cc2[C@@H]2[C@@H](CCN2S(=O)(=O)c2ccccc2F)[C@H]1CO,1.0,L1000
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1.0,L1000
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,1.0,L1000
COc1ccc(N(C(=O)CCl)C(C(=O)NC2CCCCC2)c2cccnc2)cc1,1.0,L1000
O=C(C[C@@H]1C[C@@H]2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3O[C@@H]2[C@@H](CO)O1)NCc1ccc(Oc2ccccc2)cc1,1.0,L1000
CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,1.0,L1000
C[C@@H](NC(=O)C[C@@H]1C[C@H]2c3cc(NC(=O)C4CCOCC4)ccc3O[C@H]2[C@@H](CO)O1)c1ccccc1,1.0,L1000
Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,1.0,L1000
Cc1ccc(-c2cnc3c(c2)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)S(C)(=O)=O)O3)cc1,1.0,L1000
Cc1nc2ccc(NC(=O)N=c3cc[nH]c4cccnc34)cc2o1,1.0,L1000
O=C1CCCC2C3CC(CN12)[C@@H]1CCCCN1C3,1.0,L1000
CC(C)[C@@]1(NC(=O)C2CC3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,1.0,L1000
C[C@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)C(=O)OCc1ccccc1,1.0,L1000
Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(O)=NO)cc1,1.0,L1000
Cc1noc(C)c1S(=O)(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@@H]1C,1.0,L1000
c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,1.0,L1000
O=C(O)C=Cc1ccc(O)c(O)c1,1.0,L1000
O=C(CSc1nc(=O)c2ccccc2[nH]1)Nc1ccc(Br)c(Cl)c1,1.0,L1000
O=C(Cc1ccccc1)NC1CCCc2c1cnn2-c1ccc(F)cc1F,1.0,L1000
C[C@H]1CN([C@H](C)CO)C(=O)c2cccc(NS(C)(=O)=O)c2O[C@H]1CN(C)C(=O)Nc1cccc2ccccc12,1.0,L1000
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)c1cccc(F)c1)O2,1.0,L1000
COc1ccc(-c2cc(=O)c3c(O)cc(O[C@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,1.0,L1000
CN=c1[nH]c(N)c([N+](=O)[O-])c(=Nc2ccc(F)cc2)[nH]1,1.0,L1000
NC1CCCCC1,1.0,Tox
O=C(Nc1ccccc1)c1ccccc1Br,1.0,L1000
Cc1cccc(-c2ccc([C@@H]3[C@H](CO)N4CCCCN(S(=O)(=O)c5ccccc5C)C[C@@H]34)cc2)c1,1.0,L1000
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1.0,L1000
O=c1[nH]cc(F)c(=O)[nH]1,1.0,L1000
CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)Cc1ccc3c(c1)OCO3)O2,1.0,L1000
Cc1ccc(N=c2[nH]c(N3CCCC3)nc(=NCCO)[nH]2)cc1,1.0,L1000
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,1.0,L1000
O=C(O)CCCC=CCC1COC(C(F)(F)F)OC1c1ccccc1O,1.0,L1000
O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2,1.0,L1000
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CNC1C2C,1.0,L1000
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)C3CC3)ccc2O[C@H]1CN(C)C,1.0,L1000
CCOc1ccc(-c2nc(-c3ccncc3)no2)cc1OCC,1.0,L1000
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,1.0,L1000
O=C(CCN1CCCCC1)NCC[C@H]1CC[C@@H](NS(=O)(=O)c2cccc(Cl)c2)[C@@H](CO)O1,1.0,L1000
